DateTime,Entries,UniqueIPs
1508331554,1669,1669
1508332540,1673,1673
1508333438,1664,1664
1508334296,1667,1667
1508334993,1667,1667
1508335845,1668,1668
1508336718,1670,1670
1508337648,1663,1663
1508338535,1665,1665
1508339389,1663,1663
1508340935,1657,1657
1508342261,1661,1661
1508343343,1660,1660
1508344243,1660,1660
1508345142,1663,1663
1508345973,1661,1661
1508346942,1663,1663
1508347833,1665,1665
1508348742,1670,1670
1508350479,1675,1675
1508352992,1677,1677
1508353843,1674,1674
1508354914,1675,1675
1508355763,1672,1672
1508356604,1671,1671
1508357443,1670,1670
1508358912,1667,1667
1508360143,1666,1666
1508361041,1665,1665
1508361933,1664,1664
1508362831,1657,1657
1508364089,1654,1654
1508364944,1658,1658
1508365852,1660,1660
1508366557,1663,1663
1508367877,1669,1669
1508368848,1671,1671
1508370137,1674,1674
1508371843,1679,1679
1508372913,1682,1682
1508373762,1685,1685
1508375316,1694,1694
1508376644,1701,1701
1508377363,1700,1700
1508378748,1704,1704
1508379644,1707,1707
1508380132,1708,1708
1508381792,1710,1710
1508382647,1710,1710
1508384742,1713,1713
1508385708,1711,1711
1508386475,1716,1716
1508387306,1720,1720
1508389382,1719,1719
1508390439,1720,1720
1508390914,1722,1722
1508391946,1719,1719
1508393683,1718,1718
1508394540,1721,1721
1508395366,1717,1717
1508397047,1714,1714
1508399142,1712,1712
1508401600,1707,1707
1508402452,1698,1698
1508404079,1696,1696
1508405007,1696,1696
1508405968,1693,1693
1508408081,1693,1693
1508408912,1695,1695
1508409942,1697,1697
1508410603,1701,1701
1508411445,1700,1700
1508412398,1703,1703
1508413246,1703,1703
1508414808,1704,1704
1508416791,1703,1703
1508417796,1705,1705
1508418654,1704,1704
1508419573,1705,1705
1508420450,1700,1700
1508422283,1696,1696
1508423313,1700,1700
1508424219,1694,1694
1508426075,1692,1692
1508427756,1686,1686
1508429681,1683,1683
1508430649,1681,1681
1508432679,1679,1679
1508433640,1683,1683
1508434532,1681,1681
1508435433,1684,1684
1508436646,1687,1687
1508438556,1679,1679
1508439706,1676,1676
1508440546,1678,1678
1508441449,1676,1676
1508442343,1678,1678
1508443842,1683,1683
1508444924,1688,1688
1508446543,1681,1681
1508447443,1683,1683
1508449363,1684,1684
1508451273,1695,1695
1508452120,1698,1698
1508453151,1696,1696
1508454656,1695,1695
1508456566,1689,1689
1508458471,1684,1684
1508460046,1664,1664
1508461775,1662,1662
1508462078,1663,1663
1508463051,1660,1660
1508463756,1662,1662
1508465442,1662,1662
1508466517,1666,1666
1508467538,1665,1665
1508468681,1659,1659
1508469645,1660,1660
1508470116,1660,1660
1508471146,1650,1650
1508472639,1654,1654
1508473706,1655,1655
1508474740,1650,1650
1508475742,1649,1649
1508476473,1652,1652
1508477735,1651,1651
1508479848,1654,1654
1508481425,1649,1649
1508482606,1656,1656
1508483444,1655,1655
1508485536,1655,1655
1508488113,1665,1665
1508489155,1666,1666
1508490285,1669,1669
1508491239,1671,1671
1508492438,1674,1674
1508493343,1680,1680
1508494226,1673,1673
1508495304,1674,1674
1508496162,1664,1664
1508497308,1658,1658
1508498142,1659,1659
1508499038,1653,1653
1508499937,1656,1656
1508500968,1650,1650
1508501673,1651,1651
1508502649,1644,1644
1508503542,1646,1646
1508504475,1644,1644
1508505289,1645,1645
1508506244,1643,1643
1508506970,1641,1641
1508508594,1640,1640
1508509793,1639,1639
1508510748,1637,1637
1508511796,1633,1633
1508512843,1637,1637
1508514123,1626,1626
1508516079,1624,1624
1508517340,1621,1621
1508518233,1619,1619
1508519673,1613,1613
1508520482,1614,1614
1508521321,1610,1610
1508523283,1612,1612
1508525238,1610,1610
1508526117,1612,1612
1508526941,1613,1613
1508527853,1610,1610
1508528567,1610,1610
1508529393,1608,1608
1508530244,1609,1609
1508531202,1611,1611
1508532166,1605,1605
1508532998,1607,1607
1508533845,1609,1609
1508534848,1612,1612
1508537442,1608,1608
1508538512,1614,1614
1508539363,1614,1614
1508540391,1621,1621
1508541344,1620,1620
1508542246,1614,1614
1508543143,1609,1609
1508544651,1603,1603
1508545852,1591,1591
1508546742,1592,1592
1508548478,1593,1593
1508549439,1593,1593
1508550169,1592,1592
1508551262,1585,1585
1508552145,1588,1588
1508553341,1584,1584
1508554591,1586,1586
1508555444,1581,1581
1508556641,1575,1575
1508558280,1577,1577
1508559291,1573,1573
1508560133,1575,1575
1508561143,1567,1567
1508561796,1570,1570
1508562649,1564,1564
1508564399,1560,1560
1508566244,1556,1556
1508567613,1553,1553
1508568958,1553,1553
1508569849,1551,1551
1508571029,1549,1549
1508571952,1550,1550
1508575542,1549,1549
1508576649,1546,1546
1508577638,1547,1547
1508578746,1541,1541
1508580643,1539,1539
1508581531,1537,1537
1508582344,1528,1528
1508584242,1526,1526
1508585136,1528,1528
1508586047,1524,1524
1508586886,1524,1524
1508587843,1521,1521
1508589039,1520,1520
1508590387,1520,1520
1508591443,1522,1522
1508592521,1525,1525
1508593544,1523,1523
1508594516,1522,1522
1508595347,1524,1524
1508596240,1523,1523
1508597146,1526,1526
1508598879,1529,1529
1508599845,1531,1531
1508600650,1532,1532
1508601702,1536,1536
1508602483,1541,1541
1508603312,1546,1546
1508604343,1543,1543
1508605841,1546,1546
1508607928,1545,1545
1508609672,1540,1540
1508610513,1541,1541
1508611365,1533,1533
1508613045,1530,1530
1508614842,1514,1514
1508615739,1517,1517
1508616646,1513,1513
1508617592,1514,1514
1508618449,1499,1499
1508619345,1500,1500
1508620243,1494,1494
1508621332,1496,1496
1508622348,1479,1479
1508623373,1456,1456
1508624913,1458,1458
1508625755,1440,1440
1508626600,1441,1441
1508627445,1434,1434
1508629535,1422,1422
1508631044,1413,1413
1508632117,1414,1414
1508633134,1396,1396
1508634653,1386,1386
1508636556,1374,1374
1508638239,1370,1370
1508640344,1364,1364
1508640991,1365,1365
1508641850,1362,1362
1508642913,1363,1363
1508643951,1358,1358
1508644856,1344,1344
1508645754,1346,1346
1508647359,1327,1327
1508648850,1314,1314
1508651067,1295,1295
1508652944,1279,1279
1508653716,1281,1281
1508654740,1267,1267
1508655911,1256,1256
1508656846,1258,1258
1508658050,1225,1225
1508660075,1210,1210
1508660917,1210,1210
1508661770,1183,1183
1508662874,1161,1161
1508663756,1162,1162
1508664946,1146,1146
1508666704,1138,1138
1508667648,1137,1137
1508668854,1126,1126
1508670643,1123,1123
1508671839,1125,1125
1508672986,1126,1126
1508674252,1128,1128
1508675171,1129,1129
1508676046,1125,1125
1508676902,1127,1127
1508677846,1122,1122
1508678736,1123,1123
1508679638,1114,1114
1508681380,1110,1110
1508682525,1113,1113
1508683551,1108,1108
1508684377,1108,1108
1508685340,1110,1110
1508686243,1097,1097
1508686962,1100,1100
1508688647,1103,1103
1508689488,1110,1110
1508690453,1101,1101
1508691720,1096,1096
1508692550,1103,1103
1508693444,1102,1102
1508694347,1104,1104
1508696085,1105,1105
1508697040,1094,1094
1508697958,1103,1103
1508699453,1107,1107
1508700516,1113,1113
1508701543,1102,1102
1508703038,1093,1093
1508704114,1092,1092
1508705038,1056,1056
1508706650,1047,1047
1508708591,1010,1010
1508709673,998,998
1508710542,997,997
1508711446,995,995
1508712869,996,996
1508713782,991,991
1508714697,992,992
1508715646,973,973
1508717451,967,967
1508718630,953,953
1508719485,952,952
1508721054,941,941
1508721947,941,941
1508722967,926,926
1508723794,927,927
1508724641,917,917
1508725610,918,918
1508726741,892,892
1508728467,891,891
1508729517,884,884
1508731845,877,877
1508732913,876,876
1508733942,875,875
1508735453,871,871
1508735688,872,872
1508736648,867,867
1508738193,868,868
1508739042,865,865
1508740246,862,862
1508741121,863,863
1508742165,862,862
1508743095,862,862
1508744024,860,860
1508747442,859,859
1508748144,857,857
1508748997,858,858
1508749848,858,858
1508751945,856,856
1508752599,857,857
1508753444,857,857
1508754526,858,858
1508755381,856,856
1508757044,858,858
1508758854,849,849
1508759733,850,850
1508760575,844,844
1508762138,836,836
1508763350,834,834
1508764243,820,820
1508765133,820,820
1508766041,801,801
1508767297,793,793
1508769940,784,784
1508771437,764,764
1508772598,746,746
1508773356,739,739
1508775050,723,723
1508776114,725,725
1508777015,689,689
1508777923,678,678
1508778940,677,677
1508779861,671,671
1508780560,662,662
1508782473,649,649
1508783441,627,627
1508784336,624,624
1508786076,619,619
1508787648,614,614
1508788591,615,615
1508789450,611,611
1508790644,608,608
1508791544,607,607
1508792207,609,609
1508793037,609,609
1508795137,602,602
1508797249,603,603
1508798272,598,598
1508798555,596,596
1508799879,595,595
1508802045,591,591
1508804448,585,585
1508805656,584,584
1508807161,583,583
1508808052,584,584
1508809371,582,582
1508811049,581,581
1508812104,583,583
1508813148,580,580
1508814213,581,581
1508816139,579,579
1508817721,578,578
1508819447,579,579
1508820171,578,578
1508821845,580,580
1508823041,578,578
1508823853,578,578
1508824880,578,578
1508826661,570,570
1508827545,568,568
1508829282,565,565
1508830225,557,557
1508831741,553,553
1508832640,550,550
1508833858,547,547
1508834560,546,546
1508835709,539,539
1508838340,538,538
1508840085,536,536
1508841049,532,532
1508841948,513,513
1508843281,508,508
1508844192,509,509
1508845248,501,501
1508846138,502,502
1508847051,501,501
1508848113,502,502
1508848958,503,503
1508850278,501,501
1508851251,502,502
1508852449,491,491
1508853690,483,483
1508856343,465,465
1508857846,451,451
1508860538,428,428
1508861447,412,412
1508862653,381,381
1508863360,371,371
1508865044,344,344
1508866116,345,345
1508867141,277,277
1508868645,243,243
1508870442,205,205
1508872544,202,202
1508874338,202,202
1508876915,201,201
1508877947,204,204
1508878599,205,205
1508879455,203,203
1508882345,201,201
1508884250,199,199
1508885146,199,199
1508886948,199,199
1508887847,199,199
1508888554,200,200
1508889392,200,200
1508890244,200,200
1508891448,199,199
1508894916,201,201
1508895945,196,196
1508897372,180,180
1508899246,177,177
1508900149,178,178
1508900998,177,177
1508902238,178,178
1508903133,179,179
1508904648,196,196
1508905713,214,214
1508906746,233,233
1508907650,252,252
1508908553,279,279
1508909322,321,321
1508911004,340,340
1508911858,348,348
1508913760,366,366
1508915676,403,403
1508916660,415,415
1508917371,424,424
1508918196,430,430
1508919054,440,440
1508920122,454,454
1508920982,469,469
1508922050,476,476
1508922945,487,487
1508923839,496,496
1508924565,508,508
1508925405,523,523
1508926253,530,530
