DateTime,Entries,UniqueIPs
1508530573,8512,8512
1508531560,8508,8508
1508532255,8501,8501
1508532977,8485,8485
1508533687,8485,8485
1508534434,8490,8490
1508535142,8481,8481
1508535854,8486,8486
1508536844,8485,8485
1508537529,8483,8483
1508538253,8480,8480
1508539230,8469,8469
1508539928,8450,8450
1508540676,8448,8448
1508541378,8412,8412
1508542089,8414,8414
1508542820,8443,8443
1508543541,8433,8433
1508544263,8432,8432
1508544976,8433,8433
1508545952,8426,8426
1508546652,8434,8434
1508547380,8415,8415
1508548104,8420,8420
1508548840,8420,8420
1508549534,8412,8412
1508550257,8413,8413
1508550979,8402,8402
1508551702,8364,8364
1508552661,8179,8179
1508553382,8113,8113
1508554114,8116,8116
1508554812,8113,8113
1508555547,8119,8119
1508556251,8121,8121
1508556970,8294,8294
1508557694,8301,8301
1508558458,8301,8301
1508559141,8316,8316
1508559873,8324,8324
1508560572,8323,8323
1508561294,8344,8344
1508562011,8324,8324
1508562750,8335,8335
1508563451,8340,8340
1508564192,8353,8353
1508564893,8358,8358
1508565712,8374,8374
1508566349,8370,8370
1508567064,8391,8391
1508567744,8359,8359
1508568745,8368,8368
1508569468,8365,8365
1508570198,8358,8358
1508571150,8366,8366
1508572102,8381,8381
1508572821,8375,8375
1508573428,8378,8378
1508574099,8383,8383
1508575101,8395,8395
1508576047,8405,8405
1508577028,8412,8412
1508577972,8408,8408
1508578832,8391,8391
1508579548,8408,8408
1508580269,8400,8400
1508580986,8425,8425
1508581705,8428,8428
1508582660,8419,8419
1508583383,8441,8441
1508584106,8438,8438
1508584808,8444,8444
1508585536,8458,8458
1508586514,8467,8467
1508587209,8466,8466
1508587940,8478,8478
1508588652,8478,8478
1508589383,8465,8465
1508590104,8451,8451
1508590813,8473,8473
1508591533,8454,8454
1508592258,8476,8476
1508592988,8453,8453
1508593953,8457,8457
1508594664,8468,8468
1508595385,8476,8476
1508596098,8458,8458
1508596824,8484,8484
1508597540,8478,8478
1508598264,8478,8478
1508599247,8462,8462
1508599947,8476,8476
1508600668,8477,8477
1508601644,8490,8490
1508602341,8488,8488
1508603056,8476,8476
1508603768,8484,8484
1508604492,8483,8483
1508605227,8477,8477
1508605952,8466,8466
1508606651,8460,8460
1508607375,8485,8485
1508608090,8494,8494
1508608834,8462,8462
1508609799,8495,8495
1508610493,8489,8489
1508611228,8499,8499
1508611946,8488,8488
1508612662,8497,8497
1508613633,8504,8504
1508614343,8519,8519
1508615073,8519,8519
1508615770,8511,8511
1508616493,8501,8501
1508617467,8508,8508
1508618169,8494,8494
1508618896,8494,8494
1508619631,8486,8486
1508620349,8480,8480
1508621298,8477,8477
1508622008,8480,8480
1508622751,8479,8479
1508623719,8469,8469
1508624919,8456,8456
1508625877,8440,8440
1508626938,8451,8451
1508627795,8441,8441
1508628499,8459,8459
1508629227,8432,8432
1508629930,8448,8448
1508630667,8442,8442
1508631395,8434,8434
1508632091,8424,8424
1508632823,8436,8436
1508633540,8424,8424
1508634520,8412,8412
1508635460,8388,8388
1508636180,8413,8413
1508636908,8396,8396
1508637615,8367,8367
1508638346,8370,8370
1508639051,8364,8364
1508640027,8364,8364
1508640984,8376,8376
1508641697,8390,8390
1508642413,8368,8368
1508643395,8392,8392
1508644373,8386,8386
1508645323,8322,8322
1508646260,8374,8374
